Cluster ID;size;profile_id;Year of date;Month of date;#bookings;#comments;#favourites;#improvements;#likes;#messages;#relationships;#replies;#responses;#reviews;#topics;points;ratio;std dev;impact;std dev impact
2009;108;1;2014;1;9;0;1;0;3;0;5;15;0;1;0;15;2,00;0,00;2,00;0,00
2009;108;1;2014;2;9;1;0;0;0;1;0;3;0;0;0;0;0,00;0,00;0,00;0,00
2009;108;1;2014;3;0;0;0;0;1;0;0;1;0;1;0;9;0,00;0,00;0,00;0,00
2009;108;1;2014;4;2;0;0;0;2;1;3;2;2;0;0;0;0,00;0,00;0,00;0,00
2009;108;1;2014;5;2;1;0;0;3;0;0;8;0;1;0;25;0,00;0,00;0,00;0,00
2009;108;1;2014;6;0;0;0;0;0;1;1;8;0;0;0;0;0,00;0,00;0,00;0,00
2009;108;1;2014;7;1;1;0;0;6;0;0;19;4;1;0;11;0,00;0,00;0,00;0,00
2009;108;1;2014;8;3;0;0;0;0;2;1;4;0;0;0;0;0,00;0,00;0,00;0,00
2009;108;1;2014;9;3;0;1;0;2;0;1;4;0;1;0;7;0,00;0,00;0,00;0,00
2009;108;1;2014;10;3;2;0;0;1;0;0;6;9;0;0;0;0,00;0,00;0,00;0,00
2009;108;1;2014;11;0;0;2;0;6;0;2;5;0;1;0;27;2,00;0,00;0,00;0,00
2009;108;1;2014;12;0;0;0;0;2;0;2;6;0;0;0;0;0,00;0,00;0,00;0,00
2009;108;1;2015;1;2;1;0;0;1;0;0;0;0;0;0;0;0,00;0,00;0,00;0,00
2009;108;1;2015;2;3;0;1;0;2;0;0;5;0;0;0;0;0,00;0,00;0,00;0,00
2009;108;1;2015;3;8;0;0;0;3;1;1;7;0;0;0;0;0,00;0,00;0,00;0,00
2009;108;1;2015;4;2;2;0;0;3;0;1;2;0;0;0;0;0,00;0,00;0,00;0,00
2009;108;1;2015;5;7;2;0;0;12;1;0;1;0;0;0;0;0,00;0,00;0,00;0,00
2009;108;1;2015;6;0;0;0;0;0;3;0;1;2;0;0;0;0,00;0,00;0,00;0,00
2009;108;1;2015;7;3;1;0;0;1;0;0;7;0;0;0;0;0,00;0,00;0,00;0,00
2009;108;1;2015;8;19;1;0;0;7;0;1;7;0;0;0;0;0,00;0,00;0,00;0,00
